partition,record,class,count
incartdb,I54,N,2329
incartdb,I54,S,1
incartdb,I54,V,22
incartdb,I54,F,0
incartdb,I54,Q,0
incartdb,I55,N,2138
incartdb,I55,S,1
incartdb,I55,V,17
incartdb,I55,F,0
incartdb,I55,Q,0
incartdb,I56,N,1662
incartdb,I56,S,26
incartdb,I56,V,7
incartdb,I56,F,0
incartdb,I56,Q,0
incartdb,I57,N,2832
incartdb,I57,S,3
incartdb,I57,V,20
incartdb,I57,F,3
incartdb,I57,Q,2
incartdb,I58,N,2302
incartdb,I58,S,0
incartdb,I58,V,12
incartdb,I58,F,0
incartdb,I58,Q,0
incartdb,I59,N,2057
incartdb,I59,S,0
incartdb,I59,V,81
incartdb,I59,F,0
incartdb,I59,Q,0
incartdb,I60,N,2465
incartdb,I60,S,0
incartdb,I60,V,0
incartdb,I60,F,0
incartdb,I60,Q,0
incartdb,I61,N,1443
incartdb,I61,S,1
incartdb,I61,V,0
incartdb,I61,F,0
incartdb,I61,Q,0
incartdb,I62,N,1443
incartdb,I62,S,9
incartdb,I62,V,795
incartdb,I62,F,12
incartdb,I62,Q,0
incartdb,I63,N,1838
incartdb,I63,S,1
incartdb,I63,V,137
incartdb,I63,F,8
incartdb,I63,Q,0
incartdb,I64,N,1876
incartdb,I64,S,0
incartdb,I64,V,23
incartdb,I64,F,3
incartdb,I64,Q,0
incartdb,I65,N,2266
incartdb,I65,S,5
incartdb,I65,V,379
incartdb,I65,F,4
incartdb,I65,Q,0
incartdb,I66,N,2130
incartdb,I66,S,1
incartdb,I66,V,198
incartdb,I66,F,0
incartdb,I66,Q,0
incartdb,I67,N,2431
incartdb,I67,S,5
incartdb,I67,V,528
incartdb,I67,F,1
incartdb,I67,Q,0
incartdb,I68,N,2471
incartdb,I68,S,2
incartdb,I68,V,161
incartdb,I68,F,0
incartdb,I68,Q,0
incartdb,I69,N,1991
incartdb,I69,S,1
incartdb,I69,V,166
incartdb,I69,F,1
incartdb,I69,Q,0
incartdb,I70,N,1532
incartdb,I70,S,124
incartdb,I70,V,0
incartdb,I70,F,0
incartdb,I70,Q,0
incartdb,I71,N,1624
incartdb,I71,S,35
incartdb,I71,V,0
incartdb,I71,F,0
incartdb,I71,Q,0
incartdb,I72,N,1867
incartdb,I72,S,8
incartdb,I72,V,384
incartdb,I72,F,0
incartdb,I72,Q,0
incartdb,I73,N,1880
incartdb,I73,S,32
incartdb,I73,V,70
incartdb,I73,F,0
incartdb,I73,Q,0
incartdb,I74,N,2073
incartdb,I74,S,0
incartdb,I74,V,273
incartdb,I74,F,48
incartdb,I74,Q,0
incartdb,I75,N,1475
incartdb,I75,S,0
incartdb,I75,V,611
incartdb,I75,F,7
incartdb,I75,Q,0
