partition,record,class,count
DS2 test,123,V,3
DS2 test,123,F,0
DS2 test,123,Q,0
DS1 training subset,124,N,1525
DS1 training subset,124,S,31
DS1 training subset,124,V,47
DS1 training subset,124,F,5
DS1 training subset,124,Q,0
DS2 test,200,N,1737
DS2 test,200,S,30
DS2 test,200,V,821
DS2 test,200,F,2
DS2 test,200,Q,0
DS1 training subset,201,N,1625
DS1 training subset,201,S,128
DS1 training subset,201,V,198
DS1 training subset,201,F,2
DS1 training subset,201,Q,0
DS2 test,202,N,2050
DS2 test,202,S,55
DS2 test,202,V,19
DS2 test,202,F,1
DS2 test,202,Q,0
DS1 validation subset,203,N,2519
DS1 validation subset,203,S,2
DS1 validation subset,203,V,444
DS1 validation subset,203,F,1
DS1 validation subset,203,Q,4
DS1 training subset,205,N,2560
DS1 training subset,205,S,3
DS1 training subset,205,V,71
DS1 training subset,205,F,11
DS1 training subset,205,Q,0
DS1 training subset,207,N,1538
DS1 training subset,207,S,107
DS1 training subset,207,V,205
DS1 training subset,207,F,0
DS1 training subset,207,Q,0
DS1 training subset,208,N,1582
DS1 training subset,208,S,2
DS1 training subset,208,V,987
DS1 training subset,208,F,371
DS1 training subset,208,Q,2
DS1 training subset,209,N,2610
DS1 training subset,209,S,383
DS1 training subset,209,V,1
DS1 training subset,209,F,0
DS1 training subset,209,Q,0
DS2 test,210,N,2413
DS2 test,210,S,22
DS2 test,210,V,194
DS2 test,210,F,10
DS2 test,210,Q,0
DS2 test,212,N,2737
DS2 test,212,S,0
DS2 test,212,V,0
DS2 test,212,F,0
DS2 test,212,Q,0
DS2 test,213,N,2630
DS2 test,213,S,28
DS2 test,213,V,220
DS2 test,213,F,362
DS2 test,213,Q,0
DS2 test,214,N,1993
DS2 test,214,S,0
DS2 test,214,V,255
DS2 test,214,F,1
DS2 test,214,Q,2
DS1 training subset,215,N,3184
DS1 training subset,215,S,3
DS1 training subset,215,V,164
DS1 training subset,215,F,1
DS1 training subset,215,Q,0
DS2 test,219,N,2072
DS2 test,219,S,7
DS2 test,219,V,64
DS2 test,219,F,1
DS2 test,219,Q,0
DS1 validation subset,220,N,1943
DS1 validation subset,220,S,94
DS1 validation subset,220,V,0
DS1 validation subset,220,F,0
DS1 validation subset,220,Q,0
DS2 test,221,N,2024
DS2 test,221,S,0
DS2 test,221,V,393
DS2 test,221,F,0
DS2 test,221,Q,0
DS2 test,222,N,2263
DS2 test,222,S,209
DS2 test,222,V,0
DS2 test,222,F,0
DS2 test,222,Q,0
DS1 validation subset,223,N,2035
DS1 validation subset,223,S,73
DS1 validation subset,223,V,473
DS1 validation subset,223,F,14
DS1 validation subset,223,Q,0
DS2 test,228,N,1678
DS2 test,228,S,3
DS2 test,228,V,362
DS2 test,228,F,0
DS2 test,228,Q,0
DS1 training subset,230,N,2245
DS1 training subset,230,S,0
DS1 training subset,230,V,1
DS1 training subset,230,F,0
DS1 training subset,230,Q,0
DS2 test,231,N,1557
DS2 test,231,S,1
DS2 test,231,V,2
DS2 test,231,F,0
DS2 test,231,Q,0
DS2 test,232,N,394
DS2 test,232,S,1376
DS2 test,232,V,0
DS2 test,232,F,0
DS2 test,232,Q,0
DS2 test,233,N,2223
DS2 test,233,S,7
DS2 test,233,V,827
DS2 test,233,F,11
DS2 test,233,Q,0
DS2 test,234,N,2690
DS2 test,234,S,50
DS2 test,234,V,3
DS2 test,234,F,0
DS2 test,234,Q,0
